"Geopolitical.entity..reporting.","TIME_PERIOD","OBS_VALUE"
"Albania",2017,23.7
"Albania",2018,23.4
"Albania",2019,23
"Albania",2020,21.8
"Albania",2021,22
"Albania",2022,20.6
"Austria",2013,14.4
"Austria",2014,14.1
"Austria",2015,13.9
"Austria",2016,14.1
"Austria",2017,14.4
"Austria",2018,14.3
"Austria",2019,13.3
"Austria",2020,13.9
"Austria",2021,14.7
"Austria",2022,14.8
"Austria",2023,14.9
"Austria",2024,14.3
"Belgium",2013,15.1
"Belgium",2014,15.5
"Belgium",2015,14.9
"Belgium",2016,15.5
"Belgium",2017,15.9
"Belgium",2018,16.4
"Belgium",2019,14.8
"Belgium",2020,14.1
"Belgium",2021,12.8
"Belgium",2022,13.1
"Belgium",2023,12.4
"Belgium",2024,11.4
"Bulgaria",2013,21
"Bulgaria",2014,21.8
"Bulgaria",2015,22
"Bulgaria",2016,22.9
"Bulgaria",2017,23.4
"Bulgaria",2018,22
"Bulgaria",2019,22.6
"Bulgaria",2020,23.8
"Bulgaria",2021,22.1
"Bulgaria",2022,22.9
"Bulgaria",2023,20.6
"Bulgaria",2024,21.7
"Switzerland",2013,14.5
"Switzerland",2014,13.8
"Switzerland",2015,15.6
"Switzerland",2016,14.7
"Switzerland",2017,15.5
"Switzerland",2018,14.6
"Switzerland",2019,16
"Switzerland",2020,15.5
"Switzerland",2021,14.7
"Switzerland",2022,15.8
"Switzerland",2023,16.4
"Cyprus",2013,15.3
"Cyprus",2014,14.4
"Cyprus",2015,16.2
"Cyprus",2016,16.1
"Cyprus",2017,15.7
"Cyprus",2018,15.4
"Cyprus",2019,15.1
"Cyprus",2020,14.8
"Cyprus",2021,13.7
"Cyprus",2022,14.7
"Cyprus",2023,14.9
"Cyprus",2024,14.6
"Czechia",2013,8.6
"Czechia",2014,9.7
"Czechia",2015,9.7
"Czechia",2016,9.7
"Czechia",2017,9.1
"Czechia",2018,9.6
"Czechia",2019,10.1
"Czechia",2020,9.5
"Czechia",2021,8.6
"Czechia",2022,10.2
"Czechia",2023,9.8
"Czechia",2024,9.5
"Germany",2013,16.1
"Germany",2014,16.7
"Germany",2015,16.7
"Germany",2016,16.5
"Germany",2017,16.1
"Germany",2018,16
"Germany",2019,14.8
"Germany",2020,16.1
"Germany",2021,16
"Germany",2022,14.8
"Germany",2023,14.4
"Germany",2024,15.5
"Denmark",2013,11.9
"Denmark",2014,12.1
"Denmark",2015,12.2
"Denmark",2016,11.9
"Denmark",2017,12.4
"Denmark",2018,12.7
"Denmark",2019,12.5
"Denmark",2020,12.1
"Denmark",2021,12.3
"Denmark",2022,12.4
"Denmark",2023,11.8
"Denmark",2024,11.6
"Estonia",2013,18.6
"Estonia",2014,21.8
"Estonia",2015,21.6
"Estonia",2016,21.7
"Estonia",2017,21
"Estonia",2018,21.9
"Estonia",2019,21.7
"Estonia",2020,20.7
"Estonia",2021,20.6
"Estonia",2022,22.8
"Estonia",2023,22.5
"Estonia",2024,20.2
"Greece",2013,23.1
"Greece",2014,22.1
"Greece",2015,21.4
"Greece",2016,21.2
"Greece",2017,20.2
"Greece",2018,18.5
"Greece",2019,17.9
"Greece",2020,17.7
"Greece",2021,19.6
"Greece",2022,18.8
"Greece",2023,18.9
"Greece",2024,19.6
"Spain",2013,20.4
"Spain",2014,22.2
"Spain",2015,22.1
"Spain",2016,22.3
"Spain",2017,21.6
"Spain",2018,21.5
"Spain",2019,20.7
"Spain",2020,21
"Spain",2021,21.7
"Spain",2022,20.4
"Spain",2023,20.2
"Spain",2024,19.7
"Finland",2013,11.8
"Finland",2014,12.8
"Finland",2015,12.4
"Finland",2016,11.6
"Finland",2017,11.5
"Finland",2018,12
"Finland",2019,11.6
"Finland",2020,12.2
"Finland",2021,10.8
"Finland",2022,12.7
"Finland",2023,12.2
"Finland",2024,12.6
"France",2013,13.7
"France",2014,13.3
"France",2015,13.6
"France",2016,13.6
"France",2017,13.2
"France",2018,13.4
"France",2019,13.6
"France",2020,14.2
"France",2021,14.3
"France",2022,15.6
"France",2023,15.4
"France",2024,15.9
"Croatia",2013,19.5
"Croatia",2014,19.4
"Croatia",2015,20
"Croatia",2016,19.5
"Croatia",2017,20
"Croatia",2018,19.3
"Croatia",2019,18.3
"Croatia",2020,18.3
"Croatia",2021,19.2
"Croatia",2022,18
"Croatia",2023,19.3
"Croatia",2024,20.3
"Hungary",2013,15
"Hungary",2014,15
"Hungary",2015,14.9
"Hungary",2016,14.5
"Hungary",2017,13.4
"Hungary",2018,12.8
"Hungary",2019,14
"Hungary",2020,13.9
"Hungary",2021,13.2
"Hungary",2022,13.5
"Hungary",2023,13.8
"Hungary",2024,14.3
"Ireland",2013,15.7
"Ireland",2014,16.8
"Ireland",2015,16.2
"Ireland",2016,16.8
"Ireland",2017,15.6
"Ireland",2018,14.9
"Ireland",2019,13.4
"Ireland",2020,12.8
"Ireland",2021,12.8
"Ireland",2022,13.4
"Ireland",2023,12
"Ireland",2024,12.7
"Iceland",2013,9.3
"Iceland",2014,7.9
"Iceland",2015,9.2
"Iceland",2016,8.8
"Iceland",2017,10.1
"Iceland",2018,8.8
"Iceland",2019,9.3
"Iceland",2020,8.8
"Italy",2013,19.3
"Italy",2014,19.4
"Italy",2015,19.9
"Italy",2016,20.6
"Italy",2017,20.3
"Italy",2018,20.3
"Italy",2019,20.1
"Italy",2020,20
"Italy",2021,20.1
"Italy",2022,20.1
"Italy",2023,18.9
"Italy",2024,18.9
"Lithuania",2013,20.6
"Lithuania",2014,19.1
"Lithuania",2015,22.2
"Lithuania",2016,21.9
"Lithuania",2017,22.9
"Lithuania",2018,22.9
"Lithuania",2019,20.6
"Lithuania",2020,20.9
"Lithuania",2021,20
"Lithuania",2022,20.9
"Lithuania",2023,20.6
"Lithuania",2024,21.5
"Luxembourg",2013,15.9
"Luxembourg",2014,16.4
"Luxembourg",2015,15.3
"Luxembourg",2016,15.8
"Luxembourg",2017,16.4
"Luxembourg",2018,16.7
"Luxembourg",2019,17.5
"Luxembourg",2020,17.4
"Luxembourg",2021,18.1
"Luxembourg",2022,17.3
"Luxembourg",2023,18.8
"Luxembourg",2024,18.1
"Latvia",2013,19.4
"Latvia",2014,21.2
"Latvia",2015,22.5
"Latvia",2016,21.8
"Latvia",2017,22.1
"Latvia",2018,23.3
"Latvia",2019,22.9
"Latvia",2020,21.6
"Latvia",2021,23.4
"Latvia",2022,22.5
"Latvia",2023,22.5
"Latvia",2024,21.6
"Montenegro",2013,25.2
"Montenegro",2014,24.1
"Montenegro",2015,24.4
"Montenegro",2016,24
"Montenegro",2017,23.6
"Montenegro",2018,23.8
"Montenegro",2019,24.5
"Montenegro",2020,22.6
"Montenegro",2021,21.2
"Montenegro",2022,20.3
"North Macedonia",2013,24.2
"North Macedonia",2014,22.1
"North Macedonia",2015,21.5
"North Macedonia",2016,21.9
"North Macedonia",2017,22.2
"North Macedonia",2018,21.9
"North Macedonia",2019,21.6
"North Macedonia",2020,21.8
"North Macedonia",2021,23
"North Macedonia",2022,22.9
"North Macedonia",2023,22.2
"Malta",2013,15.8
"Malta",2014,15.8
"Malta",2015,16.6
"Malta",2016,16.5
"Malta",2017,16.7
"Malta",2018,16.8
"Malta",2019,17.1
"Malta",2020,16.9
"Malta",2021,16.9
"Malta",2022,16.7
"Malta",2023,16.6
"Malta",2024,16.8
"Netherlands",2013,10.4
"Netherlands",2014,11.6
"Netherlands",2015,11.6
"Netherlands",2016,12.7
"Netherlands",2017,13.2
"Netherlands",2018,13.3
"Netherlands",2019,13.2
"Netherlands",2020,13.4
"Netherlands",2021,14.4
"Netherlands",2022,14.5
"Netherlands",2023,13
"Netherlands",2024,12.1
"Norway",2013,10.9
"Norway",2014,10.9
"Norway",2015,11.9
"Norway",2016,12.2
"Norway",2017,12.3
"Norway",2018,12.9
"Norway",2019,12.7
"Norway",2020,12.7
"Norway",2021,12.6
"Norway",2022,12.2
"Norway",2023,11.5
"Norway",2024,11.6
"Poland",2013,17.3
"Poland",2014,17
"Poland",2015,17.6
"Poland",2016,17.3
"Poland",2017,15
"Poland",2018,14.8
"Poland",2019,15.4
"Poland",2020,14.8
"Poland",2021,14.8
"Poland",2022,13.7
"Poland",2023,14
"Poland",2024,13.8
"Portugal",2013,18.7
"Portugal",2014,19.5
"Portugal",2015,19.5
"Portugal",2016,19
"Portugal",2017,18.3
"Portugal",2018,17.3
"Portugal",2019,17.2
"Portugal",2020,16.2
"Portugal",2021,18.4
"Portugal",2022,16.4
"Portugal",2023,17
"Portugal",2024,16.6
"Romania",2013,23
"Romania",2014,25.1
"Romania",2015,25.4
"Romania",2016,25.3
"Romania",2017,23.6
"Romania",2018,23.5
"Romania",2019,23.8
"Romania",2020,23.4
"Romania",2021,22.5
"Romania",2022,21.2
"Romania",2023,21.1
"Romania",2024,19
"Serbia",2013,24.5
"Serbia",2014,25
"Serbia",2015,26.7
"Serbia",2016,25.9
"Serbia",2017,25.7
"Serbia",2018,24.3
"Serbia",2019,23
"Serbia",2020,22.4
"Serbia",2021,21.4
"Serbia",2022,20.2
"Serbia",2023,19.9
"Serbia",2024,19.7
"Sweden",2013,16
"Sweden",2014,15.6
"Sweden",2015,16.3
"Sweden",2016,16.2
"Sweden",2017,15.8
"Sweden",2018,16.4
"Sweden",2019,17.1
"Sweden",2020,16.1
"Sweden",2021,15.7
"Sweden",2022,16
"Sweden",2023,16.1
"Sweden",2024,14.8
"Slovenia",2013,14.5
"Slovenia",2014,14.5
"Slovenia",2015,14.3
"Slovenia",2016,13.9
"Slovenia",2017,13.3
"Slovenia",2018,13.3
"Slovenia",2019,12
"Slovenia",2020,12.4
"Slovenia",2021,11.7
"Slovenia",2022,12.1
"Slovenia",2023,12.7
"Slovenia",2024,13.2
"Slovakia",2013,12.8
"Slovakia",2014,12.6
"Slovakia",2015,12.3
"Slovakia",2016,12.7
"Slovakia",2017,12.4
"Slovakia",2018,12.2
"Slovakia",2019,11.9
"Slovakia",2020,11.4
"Slovakia",2021,12.3
"Slovakia",2022,13.7
"Slovakia",2023,14.3
"Slovakia",2024,14.5
"Türkiye",2013,23.1
"Türkiye",2014,23
"Türkiye",2015,22.5
"Türkiye",2016,22.8
"Türkiye",2017,22.2
"Türkiye",2018,22.2
"Türkiye",2019,22.4
"Türkiye",2020,23
"Türkiye",2021,22.4
"Türkiye",2022,22.4
"Türkiye",2023,20.7
"Türkiye",2024,22.2
"United Kingdom",2013,15.9
"United Kingdom",2014,16.8
"United Kingdom",2015,16.6
"United Kingdom",2016,15.9
"United Kingdom",2017,17
"United Kingdom",2018,18.6
